c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,7,0.73787,15.85,970.99,15378,0.35876,0.14834,0.52523,3.0658,7489.5,2.1738e+10,0.028912,0.068524,100.27,40.983,18.13,123.45,6.5,4.4141e-05,6608
1,1,3,0.645,14.9,7,0.54728,12.216,720.76,10651,0.30391,0.12517,0.29634,2.0434,4250.9,1.251e+10,0.021513,0.053561,94.037,36.809,14.777,107.9,4.4594,3.715e-05,4100.2
1,1,4,0.85,22.3,7,0.23226,6.1185,307.96,4520.5,0.18495,0.071357,0.048298,0.67169,698.92,3.0776e+09,0.0095145,0.027229,69.769,25.03,7.7662,63.946,1.2022,2.4367e-05,1197.1
1,1,5,0.995,3.13,7,0.14806,4.0851,198.59,2766.5,0.1549,0.058129,0.017708,0.35747,255.69,1.4583e+09,0.0069642,0.020029,61.109,21.307,6.1185,51.577,0.52241,2.1673e-05,593.1
1,1,6,1.23,30,7,0.097676,2.4883,131.8,1978.2,0.12261,0.048128,0.007982,0.14704,117.31,8.385e+08,0.0047896,0.01596,52.082,18.085,4.8589,43.879,0.24102,1.6609e-05,343.27
1,1,7,1.38,23,7,0.079572,1.9601,105.57,1517.7,0.11654,0.04667,0.005422,0.13334,78.426,5.7559e+08,0.0050725,0.015505,46.585,16.344,4.5704,39.311,0.16125,1.5908e-05,276.89
1,2,2,0.544,154,7,1.0155,20.863,1338.9,19423,0.44003,0.17427,1.0051,4.95,14390,3.7097e+10,0.037951,0.085453,110.67,47.016,22.142,140.28,9.1485,5.6806e-05,10004
1,2,3,0.616,54,7,0.66774,15.062,877.51,12965,0.34185,0.13561,0.42911,2.6635,6134.1,1.7577e+10,0.023816,0.058667,101.25,40.041,16.284,115.54,5.2368,4.4576e-05,5171.2
1,2,4,0.821,31.5,7,0.3067,8.0572,403.99,6571.8,0.23012,0.087353,0.096013,1.1159,1389.9,5.8788e+09,0.013654,0.03363,71.997,27.088,9.3387,80.747,1.5859,2.9395e-05,1807.6
1,2,5,1.05,42.1,7,0.17231,4.6905,227.55,3399.1,0.16566,0.061425,0.032864,0.48333,466.13,1.9442e+09,0.0077548,0.020972,58.662,21.114,6.3384,59.021,0.61238,2.131e-05,779.67
1,2,6,1.17,55.5,7,0.11915,3.4283,158.22,2475.7,0.12984,0.049648,0.018675,0.26822,271.61,1.3119e+09,0.0053055,0.0162,50.534,17.858,5.0115,47.801,0.3552,1.676e-05,466.48
1,2,7,1.35,37.2,7,0.10104,3.0023,135.08,1987.8,0.13077,0.048414,0.010367,0.26926,150.33,9.2969e+08,0.0057132,0.015611,47.99,16.869,4.8301,44.763,0.24161,1.7597e-05,377.23
1,3,2,0.558,65,7,1.3259,19.407,1778.8,25657,0.7102,0.23949,1.6261,4.6952,24336,6.0047e+10,0.091767,0.13404,120.24,56.818,28.449,248.01,9.8476,6.7029e-05,15233
1,3,3,0.665,13.2,7,0.82959,12.62,1103.6,15384,0.57265,0.18512,0.61763,2.1862,9217.1,2.7073e+10,0.065261,0.09098,101.4,45.037,20.363,208.19,4.9997,5.1075e-05,7457.8
1,3,4,0.85,20.6,7,0.35841,7.0528,473.26,6624.3,0.35822,0.10944,0.12125,0.9788,1817.8,6.3368e+09,0.033262,0.046296,73.571,29.422,11.219,133.65,1.3998,3.1541e-05,2326.4
1,3,5,1.1,8.07,7,0.18157,3.8662,240.4,3475.8,0.25222,0.076914,0.031025,0.37148,460.91,2.1692e+09,0.019275,0.030307,57.72,21.744,7.575,89.133,0.47403,2.4383e-05,850.26
1,3,6,1.28,3.42,7,0.14463,2.831,190.27,2804.9,0.2393,0.074353,0.017345,0.22219,255.42,1.6145e+09,0.018974,0.02982,53.804,20.49,7.1212,83.675,0.28823,2.2909e-05,651.99
1,4,2,0.624,58.3,7,0.68446,14.159,914.69,11880,0.38527,0.15724,0.43496,2.5277,6399.6,1.57e+10,0.028652,0.07202,103.66,42.791,18.386,134.41,5.8582,4.8268e-05,5810.7
1,4,3,0.733,14.2,7,0.37995,8.5935,503.33,6820.2,0.26682,0.10481,0.13454,1.1197,1966.2,5.9094e+09,0.016164,0.041225,83.057,31.621,11.405,92.853,2.3939,3.3126e-05,2461.9
1,4,4,0.851,13.4,7,0.22828,5.7041,298.33,4109.1,0.19561,0.071255,0.046647,0.57623,675.59,2.6074e+09,0.0093309,0.024634,70.519,25.248,7.6115,66.509,1.0946,2.5252e-05,1167.1
1,4,5,1.09,22.5,7,0.12963,3.4625,171.09,2297.3,0.15517,0.054569,0.014022,0.27831,198.38,9.9618e+08,0.0062443,0.016531,58.62,20.244,5.5613,49.27,0.41524,2.1054e-05,486.47
