c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
2,4,5,1.08,8.87,9,0.51018,14.998,663.4,8751.4,0.24098,0.074065,0.17479,4.0573,3085.4,1.148e+10,0.016496,0.028232,59.605,22.118,8.2007,78.627,1.4618,3.7459e-05,6481.3
2,4,6,1.29,0.553,9,0.34053,9.9883,444.55,5503.4,0.20551,0.065602,0.07686,2.2279,1369,5.5248e+09,0.012761,0.024293,53.478,19.585,6.8435,66.089,0.70259,3.2715e-05,3727.2
2,5,1,0.542,168,9,4.656,88.14,6245.8,89662,0.95606,0.29268,12.437,72.178,2.392e+05,5.4458e+11,0.14847,0.20068,124.97,66.981,46.027,310.48,34.357,0.00013747,1.6241e+05
2,5,2,0.616,104,9,3.5345,67.205,4739.6,64119,0.8395,0.26282,7.0203,42.467,1.3579e+05,3.5772e+11,0.11618,0.16946,117.81,59.742,37.863,281.18,23.588,0.00012105,1.0217e+05
2,5,3,0.689,83.1,9,2.4285,46.674,3200.8,40179,0.64131,0.20811,3.4719,23.735,65846,1.5209e+11,0.077937,0.1212,99.439,47.535,27.433,218.11,13.51,9.0968e-05,64208
2,5,4,0.884,51.6,9,0.97806,22.283,1284.5,17269,0.35159,0.10942,0.64008,7.6242,12093,3.6006e+10,0.032525,0.050659,68.696,28.216,12.969,119.36,3.5415,5.0646e-05,17590
2,5,5,1.07,28.3,9,0.59542,14.1,779.49,9828,0.29066,0.082929,0.21943,3.896,4043.1,1.4718e+10,0.021734,0.033829,58.766,22.672,9.1741,103.02,1.5418,4.3413e-05,7986.3
2,5,6,1.27,28.9,9,0.41368,9.8586,546.5,7009.9,0.25419,0.071731,0.10333,2.1941,1916,8.4816e+09,0.016477,0.028895,53.678,20.364,7.6291,90.184,0.81124,3.7438e-05,4765.4
2,6,1,0.558,79.5,9,3.7229,88.242,4987.7,73068,0.78315,0.25832,8.1349,71.801,1.5251e+05,3.875e+11,0.10928,0.16852,123.6,62.409,40.931,268.38,30.146,0.00011554,1.1199e+05
2,6,2,0.621,73.6,9,2.6211,61.101,3520.4,47356,0.65418,0.20977,4.2159,35.81,77603,1.942e+11,0.07959,0.12512,110.84,51.997,30.811,230.71,18.554,8.9328e-05,63651
2,6,3,0.706,36.9,9,1.74,40.916,2303.6,31956,0.48711,0.15491,2.0274,19.695,37199,9.9851e+10,0.052679,0.083877,88.143,38.99,21.012,165.72,10.347,6.9399e-05,38912
2,6,4,0.809,38.2,9,1.0986,27.265,1431.5,19047,0.3704,0.11515,0.74005,10.062,13233,4.1332e+10,0.031544,0.051688,76.894,30.928,14.189,119.86,4.8102,5.6906e-05,18634
2,6,5,0.996,11.8,9,0.62851,16.164,823.39,11058,0.28821,0.084535,0.22996,4.5857,4148,1.63e+10,0.019824,0.032661,63.745,24.012,9.434,89.224,1.7856,4.7564e-05,8463.3
2,6,6,1.16,5.6,9,0.41569,10.93,543.85,7166.1,0.2384,0.07471,0.10181,2.4536,1797.2,8.4876e+09,0.014094,0.02666,56.239,20.922,7.7993,76.001,0.90981,4.0091e-05,4592.6
2,7,1,0.499,164,9,3.6456,83.139,4943.2,62240,0.78285,0.26086,7.7966,59.277,1.4989e+05,2.8477e+11,0.10533,0.16712,125.85,62.573,40.16,271.57,27.144,0.00012389,1.1415e+05
2,7,2,0.525,133,9,3.6442,83.188,4866.6,60342,0.7898,0.26337,7.7387,58.436,1.4762e+05,2.7826e+11,0.10548,0.17025,126.44,62.979,39.941,256.27,26.245,0.0001189,1.1545e+05
2,7,3,0.639,71.1,9,1.904,45.104,2515.9,34961,0.47958,0.16173,2.2928,21.413,44160,1.0827e+11,0.052315,0.088356,94.54,41.919,22.408,168.01,11.313,7.0064e-05,48537
2,7,4,0.84,35.1,9,0.88871,23.306,1164.3,14673,0.31952,0.10157,0.52283,7.5067,9757.5,2.7291e+10,0.025819,0.042626,72.396,28.296,12.032,112.73,3.2373,4.8422e-05,15535
2,7,5,1.03,36.7,9,0.51744,13.308,674.88,9491.7,0.2494,0.078994,0.17169,3.2733,3135.1,1.2781e+10,0.016923,0.030091,58.219,22.082,8.5381,83.982,1.3546,3.9368e-05,6776.4
2,7,6,1.2,33.5,9,0.3857,9.6726,506.78,7238.6,0.23117,0.071907,0.087472,2.0205,1609.9,8.3128e+09,0.013886,0.025915,54.467,20.428,7.4842,76.515,0.7944,3.6326e-05,4288.4
2,8,1,0.536,173,9,3.5468,86.545,4757.2,59642,0.76802,0.25338,7.2406,64.243,1.3975e+05,2.6309e+11,0.10247,0.16167,123.18,60.571,39.084,263.51,26.381,0.00011115,1.125e+05
2,8,2,0.568,127,9,2.9523,69.438,3949.3,48992,0.68888,0.22713,5.2279,43.65,1.0008e+05,1.9751e+11,0.087169,0.14023,114.53,54.671,33.631,235.4,20.806,9.8205e-05,86774
2,8,3,0.671,64,9,1.926,45.471,2561.7,34715,0.51482,0.17051,2.3483,22.004,43290,1.061e+11,0.054992,0.094113,96.201,42.557,23.283,182.84,11.413,7.5371e-05,45666
2,8,4,0.833,40.2,9,0.97226,25.303,1273,16545,0.34462,0.11157,0.63343,8.9498,11458,3.1805e+10,0.028885,0.049276,74.601,29.823,13.278,121.7,3.9562,4.9218e-05,16551
2,8,5,0.999,55,9,0.59423,16.809,776.77,10430,0.25329,0.080736,0.25758,5.0072,4616.5,1.5577e+10,0.017582,0.032204,60.293,22.963,9.1301,88.099,1.9071,3.8596e-05,8425.4
2,8,6,1.14,24.1,9,0.43638,11.576,570.84,7034.5,0.24192,0.07178,0.11125,2.7845,2036.5,8.0576e+09,0.015424,0.025766,56.367,20.906,7.5603,82.419,1.0003,3.7834e-05,5143.2
3,1,2,0.611,65.8,9,5.1099,135.09,6630.8,91675,0.84604,0.263,15.62,180.19,2.826e+05,7.1777e+11,0.13551,0.16881,118.25,60.162,42.226,292.22,33.397,9.0025e-05,1.9254e+05
3,1,3,0.702,54.4,9,2.948,88.322,3811.6,54630,0.57628,0.1856,5.8057,91.585,1.0326e+05,2.8872e+11,0.08067,0.11159,94.012,43.833,26.625,197.36,15.837,8.3202e-05,89238
3,1,4,0.842,33.3,9,1.7763,54.374,2285.5,31487,0.43229,0.13069,1.9944,42.905,36634,1.1175e+11,0.050871,0.068767,76.368,32.621,16.81,137.28,6.8923,6.6383e-05,44107
3,1,5,1.04,31.5,9,1.0857,32.503,1396.9,18913,0.36002,0.09961,0.67774,19.22,12028,4.8824e+10,0.036144,0.043513,64.439,25.68,11.284,123.48,2.9713,5.3551e-05,19921
3,1,6,1.19,26.1,9,0.81117,23.622,1030.2,13380,0.29345,0.085052,0.39965,11.516,7265.8,2.8949e+10,0.026481,0.037336,56.604,22.268,9.2864,97.962,1.7543,4.5613e-05,14392
