c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
4,3,7,1.38,18.5,7,1.0693,15.173,1353.5,22575,0.59933,0.15297,40.059
4,4,2,0.604,130,7,9.9514,166.33,12169,1.7071e+05,1.5796,0.41027,101.27
4,4,3,0.724,26,7,5.3046,96.325,6438.9,98457,1.0295,0.28447,69.746
4,4,4,0.878,2.65,7,3.0078,60.265,3658.4,53118,0.74565,0.21603,55.234
4,4,5,1.09,2.4,7,1.6814,33.881,2072.7,32651,0.56119,0.15645,42.656
4,4,6,1.27,4.19,7,1.123,22.797,1399.3,23591,0.45417,0.12684,35.929
4,4,7,1.44,0.623,7,0.85432,17.506,1080.6,17250,0.40106,0.11399,33.252
4,5,2,0.676,146,7,7.9928,109.57,9869.6,1.5177e+05,1.5367,0.3843,91.917
4,5,3,0.727,115,7,6.9161,95.742,8499.9,1.2285e+05,1.3498,0.34745,82.147
4,5,4,0.908,43.8,7,3.0245,46.777,3730.4,53991,0.79409,0.22467,53.986
4,5,5,1.07,44.3,7,1.9151,30.525,2383,38167,0.6772,0.18247,46.504
4,5,6,1.24,38.9,7,1.2355,21.469,1553.3,24947,0.55133,0.15139,40.329
4,5,7,1.41,24.3,7,0.91326,17.116,1152.6,19968,0.47047,0.13829,36.982
4,6,2,0.603,122,7,7.8996,139.38,9693.7,1.4886e+05,1.3837,0.35321,87.074
4,6,3,0.692,71.7,7,6.2892,110.73,7700,1.132e+05,1.175,0.31368,76.676
4,6,4,0.843,21.6,7,3.1979,58.554,3921.3,61456,0.79739,0.22453,56.3
4,6,5,1,22.1,7,2.1726,37.891,2671.4,40727,0.69511,0.19498,50.257
4,6,6,1.16,21.7,7,1.5382,28.712,1915.8,29462,0.58802,0.16416,44.485
4,6,7,1.36,11.4,7,1.0266,20.657,1291.3,19806,0.47235,0.13315,37.436
4,7,2,0.599,171,7,10.274,164.42,12584,1.8621e+05,1.7102,0.42437,103.94
4,7,3,0.67,92.7,7,6.2389,108.27,7617.9,1.0461e+05,1.1571,0.29859,74.367
4,7,4,0.854,51.6,7,3.0813,54.543,3764.2,56340,0.79471,0.21461,54.191
4,7,5,1.04,32.4,7,1.8558,35.217,2302.7,36756,0.62549,0.17574,45.845
4,7,6,1.23,47.2,7,1.1921,22.398,1486.7,23902,0.49231,0.13791,37.645
4,7,7,1.39,29.4,7,0.89808,16.934,1141.4,17551,0.45409,0.12731,35.92
4,8,2,0.607,126,7,8.8683,157.12,10863,1.4154e+05,1.499,0.38797,94.94
4,8,3,0.686,91.1,7,6.0172,109.34,7337.1,1.0232e+05,1.1044,0.29721,72.736
4,8,4,0.831,68.8,7,3.6549,64.96,4456.5,61076,0.83052,0.23691,58.294
4,8,5,0.999,42.8,7,2.0284,37.31,2496.2,37289,0.63101,0.1778,46.152
4,8,6,1.16,32.9,7,1.4513,28.18,1807.2,27957,0.53943,0.15214,41.024
4,8,7,1.31,31.1,7,1.1489,22.581,1440.9,22885,0.49903,0.13693,38.261
1,1,2,0.581,41,8,0.89717,11.916,1138.9,14984,0.42291,0.16879,47.948
1,1,3,0.645,14.9,8,0.70898,9.0719,898.43,10559,0.3752,0.14607,43.799
1,1,4,0.85,22.3,8,0.29995,4.052,375.23,4412.4,0.20819,0.072067,25.879
1,1,5,0.995,3.13,8,0.18143,2.6404,226.59,2688.7,0.16996,0.055188,21.772
1,1,6,1.23,30,8,0.11575,1.6525,144.85,1804.8,0.13323,0.045683,18.424
1,1,7,1.38,23,8,0.090352,1.1424,113.12,1443.4,0.12126,0.045794,17.64
1,2,2,0.544,154,8,1.2408,15.674,1587.4,18792,0.53468,0.20652,56.76
1,2,3,0.616,54,8,0.85995,10.878,1092.3,13032,0.41622,0.15765,45.886
1,2,4,0.821,31.5,8,0.39339,4.8755,494.96,6421,0.25648,0.090146,29.517
1,2,5,1.05,42.1,8,0.21082,2.8272,265.8,3167.7,0.17967,0.061712,22.121
1,2,6,1.17,55.5,8,0.13836,2.1605,174.75,2190,0.13902,0.050153,18.84
1,2,7,1.35,37.2,8,0.10955,1.6661,138.07,1708.4,0.13466,0.047517,18.203
1,3,2,0.558,65,8,1.5987,13.49,2052.7,24323,0.78442,0.24319,62.74
1,3,3,0.665,13.2,8,1.0207,7.7403,1298.8,14528,0.62538,0.19196,52.283
1,3,4,0.85,20.6,8,0.4542,3.7356,573.5,6387.8,0.38817,0.10761,32.873
1,3,5,1.1,8.07,8,0.2216,1.992,278.5,3417.7,0.26092,0.069054,23.47
1,3,6,1.28,3.42,8,0.16879,1.4725,212.6,2721.3,0.24441,0.069088,23.31
1,4,2,0.624,58.3,8,0.8775,10.5,1116.5,11615,0.4633,0.1819,51.445
1,4,3,0.733,14.2,8,0.49156,5.8552,621.2,6851.2,0.30321,0.1126,35.624
1,4,4,0.851,13.4,8,0.30337,3.8807,380.71,4195.3,0.22241,0.075029,26.425
1,4,5,1.09,22.5,8,0.16041,2.1625,201.73,2295.2,0.16845,0.05314,20.799
1,4,6,1.29,3.84,8,0.10692,1.4633,134.22,1577.8,0.13386,0.045041,17.849
1,5,1,0.529,141,8,1.468,15.853,1893.4,25472,0.67043,0.23221,62.014
1,5,2,0.591,125,8,1.3174,13.14,1685.1,20281,0.65764,0.22925,61.117
1,5,3,0.669,56.5,8,0.8867,8.5464,1128.3,12985,0.48851,0.16711,46.366
1,5,4,0.862,56.1,8,0.37047,3.9551,465.54,5849.7,0.28512,0.087553,28.823
1,5,5,1.03,61.9,8,0.22915,2.6659,287.2,3138.6,0.222,0.066842,23.848
1,5,6,1.25,41.7,8,0.16026,1.7944,201.57,2537.2,0.20333,0.060199,22.238
