c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,3,2,0.577,147,9,4.609,77.671,6076.4,76816,0.62675,0.16265,15.23,56.643,3.0695e+05,4.7137e+11,0.15632,0.12149,42.145,31.171,30.899,229.85,27.217,6.8966e-05,2.2065e+05
3,3,3,0.69,67.6,9,3.2016,53.578,4213.7,52886,0.53261,0.13478,7.2052,31.89,1.4434e+05,2.6915e+11,0.11633,0.086773,37.17,24.438,21.87,198.1,14.536,6.066e-05,1.2788e+05
3,3,4,0.876,29.8,9,2.0843,35.474,2745.3,33624,0.43832,0.1065,3.0418,17.054,60424,1.3261e+11,0.082511,0.057314,32.853,18.854,14.949,163.13,7.1073,5.1768e-05,67561
3,3,5,1.07,38.6,9,1.2901,21.989,1719.9,23049,0.34366,0.076411,1.2428,8.6047,25286,7.8144e+10,0.056459,0.034783,27.268,13.83,9.7246,127.09,3.5052,4.0943e-05,34687
3,3,6,1.25,5.01,9,0.95749,16.27,1274,16803,0.30478,0.064638,0.66061,5.4042,13294,4.9117e+10,0.045233,0.026505,25.831,12.112,7.6905,113.13,2.185,3.7065e-05,22102
3,3,7,1.43,3.8,9,0.78351,13.337,1032.7,12879,0.28225,0.057076,0.4262,3.9596,8536.7,3.1407e+10,0.038877,0.020587,25.229,11.131,6.5212,105.34,1.5769,3.4956e-05,16445
3,4,2,0.629,28.4,9,3.201,80.407,4108.7,54272,0.42154,0.13263,8.072,69.4,1.4147e+05,2.6803e+11,0.071559,0.083578,38.44,24.677,23.918,155.36,19.804,5.6782e-05,1.0812e+05
3,4,3,0.69,20.1,9,2.8179,71.328,3596.3,43577,0.4058,0.12639,5.8664,56.387,1.0258e+05,1.971e+11,0.063626,0.076465,37.992,23.132,21.16,150.69,15.268,5.5852e-05,86145
3,4,4,0.864,4.21,9,1.7638,45.094,2240.4,28234,0.31416,0.09399,2.4165,28.634,42222,1.0307e+11,0.041201,0.046652,32.202,17.003,13.489,116.68,7.1126,4.5419e-05,44642
3,4,5,1.07,-1.15,9,1.1832,30.344,1503.8,18737,0.25784,0.072295,1.0821,15.827,18889,5.4844e+10,0.028776,0.029303,28.86,13.572,9.3391,94.964,3.8056,3.8974e-05,24964
3,4,6,1.32,17.8,9,0.73612,18.752,936.01,12313,0.20403,0.052262,0.41925,7.7028,7303.7,2.8229e+10,0.018943,0.016912,25.404,10.63,6.157,75.251,1.8389,3.1704e-05,12527
3,4,7,1.48,12.8,9,0.60568,15.321,790.25,9334.3,0.18868,0.045399,0.29178,5.7322,5414,1.9709e+10,0.017116,0.01512,23.629,9.5921,5.267,68.877,1.3873,2.8875e-05,9032.4
3,5,2,0.586,180,9,4.0037,83.1,5203.3,71702,0.50587,0.14852,12.372,68.93,2.3024e+05,4.1906e+11,0.09757,0.10188,40.487,28.342,28.393,184.75,25.424,6.4674e-05,1.6038e+05
