c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumtorquerate,sumwork,sumworkrate,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumtorquerate2,sumwork2,sumworkrate2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
2,7,5,1.03,36.7,5,0.48136,5.0636,0.16525,0.9643,12.722,659.49,10021,0.16685,0.060361,0.25599,13.465,0.020281,0.65036,3.0165,4951.4,1.5899e+10,0.012892,0.026225,22.578,10.872,7.1925,65.581,2.0454,2.2078e-05,7449.8
2,7,6,1.2,33.5,5,0.34909,3.8212,0.09525,0.57494,9.2326,474.94,7594,0.1402,0.052251,0.13846,8.6918,0.0064982,0.25031,1.8645,2675.7,1.0388e+10,0.0093642,0.021905,21.335,9.7587,5.9942,54.378,1.1973,1.8853e-05,4815.1
2,8,1,0.536,173,5,2.9825,40.028,2.9579,27.281,80.601,4230.6,62499,0.43258,0.16385,7.2484,626.43,6.1811,507.77,55.827,1.4516e+05,3.0737e+11,0.067245,0.12354,42.79,32.299,33.827,159.36,36.508,5.0331e-05,1.0002e+05
2,8,2,0.568,127,5,2.6109,34.071,2.3854,20.831,65.988,3666.7,52734,0.40665,0.15189,5.6329,454.42,3.9965,295.51,39.503,1.1126e+05,2.4477e+11,0.061098,0.10941,39.6,28.982,29.291,152.45,28.477,4.8507e-05,82626
2,8,3,0.671,64,5,1.8474,21.595,1.3855,10.543,43.534,2569,39588,0.34242,0.1242,2.886,187.13,1.3498,75.995,20.153,55110,1.4985e+11,0.044514,0.076866,34.274,22.389,20.912,126.27,16.451,4.4943e-05,48037
2,8,4,0.833,40.2,5,0.96925,9.3922,0.50757,2.8628,24.344,1327.1,20174,0.24827,0.081387,0.83614,39.889,0.16991,5.619,8.3076,15715,5.1186e+10,0.024527,0.040001,27.227,14.577,11.4,98.412,5.9754,3.0825e-05,18574
2,8,5,0.999,55,5,0.59318,6.0491,0.24498,1.4179,16.183,814.81,12569,0.19001,0.063406,0.37077,19.244,0.048537,1.6272,4.6581,7042.3,2.4845e+10,0.016097,0.029591,23.188,11.684,8.1327,77.29,3.0486,2.2648e-05,9672.7
2,8,6,1.14,24.1,5,0.41136,4.2406,0.12947,0.73646,11.126,566.31,7929.8,0.16392,0.053243,0.18363,10.946,0.012666,0.4813,2.5832,3568.3,1.1579e+10,0.011784,0.02318,22.023,10.163,6.3609,68.303,1.6315,2.0797e-05,5883.3
3,1,2,0.611,65.8,5,4.3328,53.245,3.9071,31.515,127.95,5952.2,92934,0.49394,0.16848,16.201,1168,10.637,685.94,161.79,3.0248e+05,7.5372e+11,0.095895,0.12842,44.349,33.923,37.625,183.35,44.472,6.1034e-05,1.738e+05
3,1,3,0.702,54.4,5,2.8563,31.15,2.1154,14.589,84.748,3899.8,63811,0.39296,0.12947,7.2994,412.83,3.1381,145.29,84.123,1.3492e+05,4.101e+11,0.065387,0.086483,35.301,24.106,24.391,146.88,23.513,5.0028e-05,93705
3,1,4,0.842,33.3,5,1.7337,16.759,0.96721,5.3013,52.634,2314.4,36582,0.29869,0.094346,2.6745,119.7,0.57605,16.124,40.308,50056,1.6685e+11,0.040706,0.055707,28.778,16.818,14.547,113.23,9.7523,3.9859e-05,45458
3,1,5,1.04,31.5,5,1.0062,10.027,0.4081,2.1397,31.236,1326.9,20516,0.22294,0.074668,1.0099,50.668,0.10766,3.0682,17.82,18619,6.4928e+10,0.024588,0.038109,25.252,13.005,9.638,88.413,4.2833,2.9696e-05,20858
3,1,6,1.19,26.1,5,0.75779,7.9005,0.25872,1.4134,22.698,982.02,14930,0.18598,0.063206,0.63756,38.081,0.043885,1.6216,10.671,12060,3.9181e+10,0.01855,0.032445,22.808,11.228,7.7922,73.254,2.6567,2.549e-05,15066
3,1,7,1.43,2.6,5,0.50217,5.9513,0.13554,0.85359,15.961,658.75,10493,0.15695,0.060185,0.32164,23.94,0.014116,0.67093,6.574,5911.7,2.2732e+10,0.013345,0.029498,22.568,10.789,6.7412,61.172,1.5768,2.2424e-05,8146.9
3,2,2,0.574,174,5,5.4793,70.459,4.9702,43.69,157,7675.9,1.1824e+05,0.59471,0.1959,23.329,1839.6,16.612,1261.2,213.12,4.568e+05,1.0717e+12,0.11947,0.15901,51.497,40.989,47.053,207.13,60.251,9.5736e-05,2.438e+05
3,2,3,0.65,121,5,3.7407,43.788,2.9456,22.367,99.166,5144.6,80245,0.4577,0.14999,12.377,799.08,6.3765,358.61,110.32,2.3848e+05,6.2563e+11,0.082241,0.10949,38.899,28.342,30.594,159,32.229,6.0324e-05,1.4555e+05
3,2,4,0.848,59.5,5,1.9896,18.835,1.091,6.1286,55.12,2696.9,42647,0.33695,0.10301,3.5268,169.57,0.78838,26.256,43.296,66190,2.2485e+11,0.045979,0.06021,30.355,18.158,16.351,125.89,12.175,4.4127e-05,55428
3,2,5,0.991,70.8,5,1.2259,12.043,0.48216,2.7371,35.436,1664.8,25421,0.27518,0.082357,1.5116,80.255,0.16162,6.0542,21.862,28178,9.7378e+10,0.031958,0.042588,26.906,14.47,11.155,106.26,5.8773,3.4056e-05,27984
3,2,6,1.17,42.5,5,0.77481,8.0117,0.23859,1.3477,23.015,1038.5,15276,0.20248,0.065206,0.67784,40.628,0.041174,1.5916,12.305,12858,4.2157e+10,0.0192,0.032689,23.449,11.563,8.0331,77.41,2.8112,2.7498e-05,15040
