c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,6,6,1.16,13.3,6,0.15008,5.4344,204,2542.8,0.18612,0.052371,0.019899,0.82677,290.27,1.2665e+09,0.0090607,0.014891,55.333,19.053,5.4243,62.41,0.46258,2.496e-05,773.17
1,7,1,0.511,88.9,6,1.1808,27.111,1619.6,22192,0.5627,0.19438,1.1848,7.2364,17916,4.5419e+10,0.050733,0.093715,122.57,52.878,25.446,195.85,11.38,7.1846e-05,14508
1,7,2,0.568,67.6,6,0.84217,19.196,1152.2,14728,0.46737,0.15868,0.62495,4.1601,9372.8,2.3662e+10,0.037739,0.0687,110.98,45.217,19.771,161.69,7.3864,5.7256e-05,8923.5
1,7,3,0.68,55.1,6,0.49556,10.953,673.94,8982.9,0.34243,0.10736,0.23417,1.6925,3543.8,1.075e+10,0.023768,0.038233,86.228,32.812,12.375,125.2,3.5273,4.1256e-05,4166.5
1,7,4,0.87,20,6,0.22371,6.7694,305.31,4018.9,0.22412,0.064982,0.048756,0.84898,731.31,2.5997e+09,0.011757,0.020111,64.477,22.756,7.0605,81.258,1.0394,2.6508e-05,1466.4
1,7,5,1.04,39.2,6,0.13822,4.0981,188.27,2593.5,0.17741,0.049604,0.018266,0.42037,275.23,1.2789e+09,0.0082084,0.012933,54.921,18.699,5.1146,59.962,0.46974,2.3193e-05,677.76
1,7,6,1.23,11.4,6,0.10493,3.6617,143.38,1716.5,0.15473,0.044792,0.011474,0.47801,171.09,6.3864e+08,0.0071276,0.012493,48.713,16.679,4.5908,50.602,0.30706,1.9911e-05,501.08
1,8,1,0.5,171,6,0.98374,22.805,1360.8,18643,0.47872,0.16916,0.9035,5.5108,13700,3.3254e+10,0.040377,0.075603,117.21,48.464,22.272,171.53,10.163,6.0062e-05,11163
1,8,2,0.547,104,6,0.80948,17.434,1119.2,15606,0.42414,0.14747,0.63288,3.4267,9677.4,2.2912e+10,0.031806,0.06258,106.88,42.941,18.819,154.37,7.8251,5.5168e-05,8513.3
1,8,3,0.659,40.9,6,0.48665,12.468,662.81,9027.2,0.3157,0.10519,0.22854,2.1044,3412.9,9.5849e+09,0.020395,0.039544,88.007,33.272,12.513,108.23,3.7422,4.2383e-05,4046.7
1,8,4,0.822,29,6,0.2549,7.5778,347.35,4559.8,0.22165,0.068093,0.06183,1.0742,922.83,3.0046e+09,0.011742,0.021068,68.295,24.069,7.5411,79.881,1.3709,2.8358e-05,1534.7
1,8,5,0.938,46.9,6,0.19824,5.9004,267.63,2904.8,0.21281,0.06056,0.030294,0.69005,443.29,1.6021e+09,0.0099432,0.016694,66.393,22.689,6.47,67.624,0.83787,3.0012e-05,1022.2
1,8,6,1.14,41,6,0.12656,3.9693,171.87,1936,0.1727,0.050544,0.013572,0.37965,200.69,8.0074e+08,0.0076171,0.013479,56.411,19.299,5.1813,59.339,0.37677,2.3097e-05,585.15
2,1,2,0.6,69.5,6,2.6168,72.299,3521.3,46458,0.6789,0.2286,4.1781,53.426,78803,1.7182e+11,0.088981,0.12911,117.25,54.773,32.27,233.24,19.809,9.6603e-05,73958
2,1,3,0.658,42.1,6,1.9785,56.841,2666.6,34139,0.56646,0.18355,2.4864,35.17,46890,1.0826e+11,0.068244,0.096096,104.25,45.836,25.057,197.01,13.806,7.9766e-05,49685
2,1,4,0.85,23,6,0.9997,35.442,1342.5,16509,0.38164,0.11513,0.62584,17.827,11512,3.1261e+10,0.037708,0.049609,81.246,31.968,13.995,127.57,4.9254,5.4408e-05,18413
2,1,5,1.01,11.5,6,0.55494,16.979,740.47,9192,0.29845,0.085588,0.17919,5.0783,3258.7,1.1999e+10,0.022837,0.028666,67.904,24.943,9.1193,97.67,1.6902,4.5527e-05,7356.8
2,1,6,1.23,14.1,6,0.3903,13.979,519.93,5845.3,0.24609,0.074585,0.09678,4.6879,1759.6,6.1897e+09,0.017457,0.026098,58.894,21.563,7.7127,78.582,0.935,3.9724e-05,4801.6
2,2,2,0.565,135,6,3.2376,87.867,4408.6,51151,0.79642,0.26027,5.9955,64.816,1.1351e+05,2.0358e+11,0.10521,0.15397,135.03,63.241,39.018,268.03,25.564,0.00011332,96174
2,2,3,0.642,84.7,6,2.0221,58.874,2743.3,34452,0.57789,0.18903,2.699,38.641,52326,1.1175e+11,0.069846,0.10236,104.48,46.56,25.897,195.36,14.174,8.0949e-05,53100
2,2,4,0.836,45.1,6,0.9658,30.444,1296,16013,0.39751,0.11769,0.55596,13.942,11039,3.0278e+10,0.038083,0.049391,79.289,31.355,13.878,128.97,4.374,5.8704e-05,17505
2,2,5,1.02,45.5,6,0.58351,18.009,773.74,10533,0.30322,0.085863,0.22559,5.9711,4260.8,1.5005e+10,0.023561,0.03156,65.31,24.419,9.3289,104.05,1.8438,4.4811e-05,8366
2,2,6,1.21,44.8,6,0.42322,14.148,561.69,6987.2,0.26381,0.074115,0.11794,4.4801,2167.1,7.7325e+09,0.019159,0.026196,59.377,21.654,7.7744,83.116,1.0098,4.162e-05,5504.4
2,2,7,1.4,29.7,6,0.35984,12.469,481.58,5344.8,0.25543,0.082048,0.082451,3.6843,1480.8,5.4802e+09,0.017655,0.030154,59.546,22.318,8.2405,81.106,0.72525,4.0801e-05,4145.7
2,3,2,0.583,76.2,6,3.3389,62.481,4644.1,55960,1.0916,0.28103,6.5608,40.76,1.4439e+05,2.5999e+11,0.21382,0.17983,123.71,63.705,37.876,389.33,21.161,0.00011624,1.3136e+05
2,3,3,0.695,40.3,6,2.3284,43.532,3212.7,36650,0.90852,0.22784,3.1295,21.858,66785,1.2971e+11,0.16143,0.13008,109.13,52.284,28.246,327.51,12.105,9.5394e-05,75727
2,3,4,0.872,78.7,6,1.1517,28.145,1567.7,17382,0.63316,0.14931,0.76639,12.165,15968,3.6492e+10,0.092027,0.070911,86.275,36.367,16.61,227.67,4.0944,6.7462e-05,26725
2,3,5,1.03,15.6,6,0.67875,17.171,926.33,10724,0.47356,0.10407,0.28577,5.9155,5774.6,1.7036e+10,0.059432,0.043592,66.995,26.568,11.044,155.42,1.7799,5.4177e-05,12668
2,3,6,1.22,0.115,6,0.45937,11.731,631.87,7852.8,0.40178,0.086624,0.13306,3.4609,2698.1,1.0112e+10,0.048989,0.034415,57.103,22.205,8.7477,128.77,0.90981,4.617e-05,7558.2
2,3,7,1.39,25,6,0.39726,10.089,538.28,5883.1,0.38647,0.089089,0.09888,2.9636,1898.9,6.6126e+09,0.045103,0.035701,56.843,22.257,8.7646,129.18,0.66965,4.3404e-05,5928.1
2,4,2,0.632,44.7,6,2.36,67.823,3193.8,37010,0.66826,0.2197,3.2789,48.542,64043,1.2144e+11,0.083657,0.12404,112.8,51.952,29.914,237.31,16.551,9.1045e-05,66565
2,4,3,0.711,35.2,6,1.7879,51.379,2415.7,28197,0.57332,0.1804,1.8946,31.328,37510,8.0695e+10,0.065381,0.090198,99.725,43.455,23.021,197.78,10.716,8.0367e-05,44909
2,4,4,0.879,17.2,6,0.85801,29.142,1146.8,14214,0.36844,0.10996,0.45863,13.91,8967.4,2.3875e+10,0.03422,0.045134,75.304,29.45,12.639,121.5,3.4559,5.3169e-05,15859
2,4,5,1.08,8.87,6,0.55877,20.858,742.59,8704.6,0.29223,0.084468,0.21293,8.7962,3887.9,1.1178e+10,0.023235,0.031052,64.492,24.02,9.2531,93.899,1.7629,4.4256e-05,8355.8
2,4,6,1.29,0.553,6,0.34053,9.9883,454.25,5476.2,0.23307,0.070373,0.07686,2.2279,1426.6,5.3413e+09,0.015257,0.023891,56.538,20.527,7.1952,75.652,0.74612,3.6159e-05,3978.2
2,5,1,0.542,168,6,4.6118,91.382,6297.2,88411,1.0578,0.31052,12.444,80.41,2.4813e+05,5.3004e+11,0.1805,0.20557,133.03,71.188,48.22,356.45,35.852,0.00013964,1.7516e+05
2,5,2,0.616,104,6,3.6259,74.817,4922,57829,0.98178,0.29283,7.2105,51.507,1.4284e+05,2.7853e+11,0.15125,0.17952,131.09,66.303,41.237,347.69,25.102,0.00012489,1.1914e+05
2,5,3,0.689,83.1,6,2.4797,55.057,3338.4,39488,0.76825,0.22475,3.5389,33.015,69452,1.4616e+11,0.10553,0.12503,108.53,51.415,29.304,266.2,14.523,9.9892e-05,70627
2,5,4,0.884,51.6,6,1.0163,28.88,1364.8,17094,0.44248,0.1212,0.6887,14.46,13522,3.4536e+10,0.047856,0.05457,74.223,30.436,14.015,151.92,3.9004,5.7694e-05,20314
2,5,5,1.07,28.3,6,0.61733,16.096,820.55,9396.2,0.36237,0.089537,0.23845,5.3754,4538.7,1.3435e+10,0.031571,0.034144,62.151,23.855,9.6608,127.54,1.7059,4.8339e-05,9234.7
2,5,6,1.27,28.9,6,0.44387,13.02,596.66,6510.8,0.32493,0.083146,0.1243,4.1654,2350.2,7.5194e+09,0.026291,0.030048,58.867,22.27,8.4889,113.24,0.93848,4.3569e-05,5997.1
2,6,1,0.558,79.5,6,3.7972,97.128,5207.9,73743,0.91311,0.28792,8.2914,82.904,1.6002e+05,3.7873e+11,0.13394,0.18138,136.08,68.53,44.641,319.07,32.58,0.00012295,1.2437e+05
2,6,2,0.621,73.6,6,2.6018,69.483,3584.8,47024,0.75062,0.23331,4.159,45.353,79071,1.8786e+11,0.095463,0.13373,120.19,56.366,33.239,261.24,19.715,0.00010065,71872
2,6,3,0.706,36.9,6,1.7265,45.953,2339.9,31750,0.55184,0.16629,1.9765,25.231,37533,9.5401e+10,0.063031,0.085269,93.405,41.039,22.153,187.93,10.893,7.6913e-05,41568
2,6,4,0.809,38.2,6,1.1058,32.735,1486.5,18960,0.43646,0.12166,0.7574,15.208,14180,3.9997e+10,0.040725,0.054005,80.138,32.238,15.065,141,5.368,6.3035e-05,20981
2,6,5,0.996,11.8,6,0.65064,20.755,867.21,10887,0.34439,0.095161,0.25517,8.6913,4741.8,1.5795e+10,0.02722,0.035581,67.552,25.62,10.342,109.97,1.9994,5.2323e-05,9823.8
2,6,6,1.16,5.6,6,0.4422,14.52,591.61,7008.6,0.28809,0.081031,0.11748,4.8154,2124.1,8.0573e+09,0.020561,0.02862,59.517,22.124,8.3955,89.721,1.0519,4.5426e-05,5558.6
2,7,1,0.499,164,6,3.495,89.059,4831.3,62606,0.8672,0.27661,7.2846,67.96,1.4434e+05,2.7638e+11,0.12005,0.17161,132.85,66.003,41.591,312.29,27.551,0.00011899,1.1696e+05
2,7,2,0.525,133,6,3.5576,93.043,4879.6,60401,0.88523,0.28282,7.4419,72.954,1.4664e+05,2.7024e+11,0.12322,0.17498,137.15,67.677,42.19,294.19,27.514,0.00012958,1.1879e+05
2,7,3,0.639,71.1,6,1.8912,53.795,2561.2,34480,0.58869,0.1819,2.2616,30.456,45403,1.0323e+11,0.066529,0.09796,104.16,46.108,24.617,205.54,12.092,8.0102e-05,51004
2,7,4,0.84,35.1,6,0.91399,31.221,1224,14809,0.4063,0.11643,0.53769,14.581,10321,2.6483e+10,0.035797,0.049581,78.617,31.097,13.654,138.81,3.7064,5.8012e-05,17868
2,7,5,1.03,36.7,6,0.54545,17.526,727.85,9185.7,0.31558,0.088959,0.18813,6.1975,3615.1,1.2022e+10,0.024906,0.033086,62.841,23.862,9.4536,103.41,1.5386,4.6595e-05,8137.5
2,7,6,1.2,33.5,6,0.41281,12.753,552.63,6889.1,0.28426,0.080604,0.10312,3.9036,1950.6,7.6334e+09,0.020561,0.028631,58.398,21.926,8.2484,91.443,0.92287,4.2235e-05,5281.2
2,8,1,0.536,173,6,3.4833,88.843,4765.2,59500,0.85452,0.27768,6.9907,68.678,1.4033e+05,2.5472e+11,0.11694,0.17249,132.22,64.932,41.52,295.52,27.222,0.0001184,1.1764e+05
2,8,2,0.568,127,6,2.8596,74.577,3896.4,48969,0.74847,0.24362,4.9999,52.248,99378,1.92e+11,0.09786,0.14624,120.56,57.531,35.15,261.06,21.38,0.00010632,90765
2,8,3,0.671,64,6,1.9836,53.315,2673.7,34481,0.60051,0.18736,2.4544,30.566,46489,1.0281e+11,0.068487,0.10074,104.19,46.096,25.32,213.25,12.723,8.544e-05,51310
2,8,4,0.833,40.2,6,1.006,31.265,1343.4,16399,0.41029,0.12247,0.65595,14.543,12286,3.0743e+10,0.037387,0.052555,80.448,32.058,14.431,144.03,4.4038,5.8233e-05,18548
2,8,5,0.999,55,6,0.61559,21.469,825.99,10229,0.30607,0.086939,0.28349,9.2579,5278.7,1.4881e+10,0.02443,0.033901,63.192,24.051,9.7586,105.62,2.1721,4.3641e-05,9796.8
2,8,6,1.14,24.1,6,0.4633,14.494,618.67,6836.1,0.28953,0.079714,0.12752,4.5589,2378.9,7.6492e+09,0.02149,0.027368,60.51,22.443,8.3393,97.835,1.1742,4.3547e-05,6015.1
